Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
2, 4, cubo/acuacultura, cubo/agricultura, 1.77052749577822e-05, 2.11617521447971e-06, 2.11617521447498e-06, 0.000119689572386056, 7.4831705776863e-08, 
2, 4, cubo/acuacultura, cubo/apicultura, 0.13744358881806, 0.000186450060634246, 0.000186450057393406, 0.0257007210064236, 2.69995118740234e-06, 
2, 4, cubo/acuacultura, cubo/bovino, 0.000177053555657456, 6.69194883913583e-06, 6.69194883898599e-06, 0.000178595529482018, 5.01490352774868e-07, 
2, 4, cubo/acuacultura, cubo/conservacion, 8.85772992577008e-06, 1.49722280636265e-06, 1.49722280636097e-06, 0.000116006717027643, 3.86471737631148e-08, 
2, 4, cubo/acuacultura, cubo/e_renov, 0.348529746185291, 0.00029690684537548, 0.000296906832288766, 0.0554677061387915, 3.16281797573085e-06, 
2, 4, cubo/acuacultura, cubo/forstal, 2.65579191539746e-05, 2.59177506866922e-06, 2.59177506866051e-06, 0.000123301566573973, 1.08956691056413e-07, 
2, 4, cubo/acuacultura, cubo/industrial, 2.65579191539746e-05, 2.59177506866922e-06, 2.59177506866051e-06, 0.000123301566573973, 1.08956691056413e-07, 
2, 4, cubo/acuacultura, cubo/mineria, 8.85263523979174e-06, 1.49636165509994e-06, 1.49636165509827e-06, 0.000115945232911799, 3.86231999042138e-08, 
2, 4, cubo/acuacultura, cubo/mm, 0.955614717830943, 0.000491633763138076, 0.000491633703723223, 0.122747310191938, 3.88540466269445e-06, 
2, 4, cubo/acuacultura, cubo/pesca, 5.31158786117985e-05, 3.66532484334043e-06, 3.66532484331581e-06, 0.000133700967966141, 2.00963917884081e-07, 
2, 4, cubo/acuacultura, cubo/porcino, 0.00203622404531549, 2.26941053420801e-05, 2.26941053362361e-05, 0.000737338411032799, 1.39692925145598e-06, 
2, 4, cubo/acuacultura, cubo/turismo, 8.85263523979174e-06, 1.49636165509994e-06, 1.49636165509827e-06, 0.000115945232911799, 3.86231999042138e-08, 
2, 4, cubo/acuacultura, cubo/urbano, 0.961529581653621, 0.000493152921867864, 0.000493152861900528, 0.123323312735634, 3.89087248916656e-06, 
2, 4, cubo/agricultura, cubo/apicultura, 0.00785385380673433, 4.45699033294976e-05, 4.4569903285229e-05, 0.0255967427805804, 1.54909205691725e-07, 
