From*, To*, Rate, 
1,11,0, 
2,4,0.014524851, 
2,6,0.00E+00, 
2,7,0, 
2,9,0, 
2,11,0, 
2,14,0.00E+00, 
4,2,0, 
4,6,0.00E+00, 
4,7,0, 
4,9,0, 
4,11,0, 
4,14,0, 
6,2,0.00474924, 
6,4,0.000678463, 
6,7,0, 
6,9,0, 
6,11,0, 
6,14,0, 
7,2,0.001427056, 
7,4,0.000292729, 
7,6,0, 
7,9,0, 
7,11,0, 
7,14,0, 
9,2,0.092931947, 
9,4,0.006350399, 
9,6,0.00E+00, 
9,7,0, 
9,11,0, 
11,2,0.001865672, 
11,4,0.056799337, 
11,6,0, 
11,7,0, 
11,9,0, 
11,14,0, 
14,2,0.010051483, 
14,4,0.096347144, 
14,6,0, 
14,7,0, 
14,11,0, 
