From*, To*, Rate, 
1, 7, 0.0109670505960104, 
2, 4, 0.000817600611785346, 
2, 6, 5.75607802394407e-05, 
2, 7, 5.11704503411425e-06, 
2, 9, 0.00716568231706489, 
2, 11, 0.00018375427604096, 
4, 2, 0.000316373076788067, 
4, 6, 1.91614011984184e-05, 
4, 7, 4.08977004478783e-05, 
6, 2, 0.000206919846156301, 
6, 4, 8.42930206108594e-05, 
6, 7, 0.00884813242549731, 
6, 9, 0.000161414895508167, 
6, 11, 0.000181799351346029, 
6, 14, 0.00023022223031411, 
7, 2, 9.17724891383812e-05, 
7, 4, 1.93183472768643e-05, 
7, 6, 0.00341374228361144, 
7, 9, 0.000144019565347802, 
7, 14, 2.12329271076506e-06, 
9, 2, 0.0188423991812413, 
9, 4, 0.000371337384577619, 
9, 6, 4.02030776639473e-05, 
9, 7, 6.10654264983357e-06, 
9, 11, 4.87933850330717e-05, 
9, 17, 4.0771360215549e-07, 
11, 2, 0.00369002279154627, 
11, 4, 0.00155400140663749, 
11, 6, 0.000665200674702843, 
11, 7, 0.000199739010598117, 
11, 9, 0.00616926873518074, 
11, 14, 0.0019202720096976, 
14, 6, 0.00132043647836935, 
14, 7, 0.00247258270158945, 
